가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
고삐	ㄱㅗㅂㅂㅣ	소나 말을 몰거나 부릴 때 소의 코뚜레나 말의 재갈에 매어 손에 잡고 끄는 줄.
고산	ㄱㅗㅅㅏㄴ	높은 산.
고새	ㄱㅗㅅㅏㅣ	조금 멀어진 어느 때부터 다른 어느 때까지의 매우 짧은 동안.
고성	ㄱㅗㅅㅓㅇ	오래전에 지어진 성.
고속	ㄱㅗㅅㅗㄱ	매우 빠른 속도.
고승	ㄱㅗㅅㅡㅇ	덕이 높거나 지위가 높은 중.
고심	ㄱㅗㅅㅣㅁ	해결하기 어려운 일에 대해 마음을 써 생각함.
고안	ㄱㅗㅇㅏㄴ	연구를 하여 새로운 물건이나 방법, 계획 등을 생각해 냄.
고압	ㄱㅗㅇㅏㅂ	바람이나 물 등의 압력이 보통보다 높은 압력.
고약	ㄱㅗㅇㅑㄱ	헐거나 곪은 상처 부위에 붙이는 끈적끈적한 한약.
고양	ㄱㅗㅇㅑㅇ	정신이나 의식 등을 높임.
고역	ㄱㅗㅇㅕㄱ	몹시 힘들고 괴로운 일.
고열	ㄱㅗㅇㅕㄹ	높은 열.
고온	ㄱㅗㅇㅗㄴ	높은 온도.
고용	ㄱㅗㅇㅛㅇ	돈을 주고 사람에게 일을 시킴.
고위	ㄱㅗㅇㅜㅣ	높은 지위.
고을	ㄱㅗㅇㅡㄹ	(옛날에) 국가 기관이 있던 지방의 중심지.
고음	ㄱㅗㅇㅡㅁ	높은 소리.
고의	ㄱㅗㅇㅡㅣ	일부러 하는 생각이나 태도.
고인	ㄱㅗㅇㅣㄴ	옛날 사람.
고작	ㄱㅗㅈㅏㄱ	아무리 높거나 많게 잡아도 별것 아닌 것의 전부.
고장	ㄱㅗㅈㅏㅇ	사람들이 사는 일정한 지역.
고적	ㄱㅗㅈㅓㄱ	옛 건물이나 시설이 남아 있어 옛 문화를 보여 주는 곳.
고전	ㄱㅗㅈㅓㄴ	오래전부터 내려오던 방식이나 형식.
고정	ㄱㅗㅈㅓㅇ	한번 정한 내용을 변경하지 않음.
고종	ㄱㅗㅈㅗㅇ	고모의 아들이나 딸과의 친족 관계. 또는 그런 관계에 있는 사람.
고증	ㄱㅗㅈㅡㅇ	옛날 책이나 유물을 통해 예전에 있던 사물들의 시대, 가치, 내용 등을 증명함.
고질	ㄱㅗㅈㅣㄹ	오래되어 고치기 힘든 병.
고집	ㄱㅗㅈㅣㅂ	자기의 생각이나 주장을 굽히지 않고 버팀.
고착	ㄱㅗㅊㅏㄱ	일정한 상태로 굳어져 변하지 않음.
고찰	ㄱㅗㅊㅏㄹ	어떤 것을 깊이 생각하고 면밀히 연구함.
고참	ㄱㅗㅊㅏㅁ	한 조직에 오래전부터 있었던 사람.
고철	ㄱㅗㅊㅓㄹ	오래되거나 쓰고 버린 쇠붙이.
고체	ㄱㅗㅊㅓㅣ	일정한 굳은 모양과 부피를 가지고 있어서 만지고 볼 수 있는 물질.
고충	ㄱㅗㅊㅜㅇ	괴로운 마음이나 어려운 사정.
고취	ㄱㅗㅊㅜㅣ	생각이나 마음, 의욕 등이 강해지도록 함.
고층	ㄱㅗㅊㅡㅇ	여러 층으로 된 것의 위쪽에 있는 층.
고통	ㄱㅗㅌㅗㅇ	몸이나 마음이 괴롭고 아픔.
고풍	ㄱㅗㅍㅜㅇ	옛날의 풍속.
고학	ㄱㅗㅎㅏㄱ	스스로 학비를 벌어서 고생하며 학교를 다님.
고함	ㄱㅗㅎㅏㅁ	크게 외치는 목소리.
고해	ㄱㅗㅎㅏㅣ	가톨릭에서, 신자가 자신의 죄를 뉘우치고 신부를 통해 하느님에게 고백하여 용서받음. 또는 그런 일.
고향	ㄱㅗㅎㅑㅇ	태어나서 자란 곳.
고혈	ㄱㅗㅎㅕㄹ	(비유적으로) 매우 고생하여 어렵게 모은 적은 재물.
고형	ㄱㅗㅎㅕㅇ	어떤 물질이 일정한 모양으로 단단하게 굳어 있는 것.
고희	ㄱㅗㅎㅡㅣ	일흔 살의 나이.
곡기	ㄱㅗㄱㄱㅣ	곡식으로 만든 음식.
곡류	ㄱㅗㄱㄹㅠ	물이 구부러져 흘러감. 또는 그 흐름.
곡우	ㄱㅗㄱㅇㅜ	모를 심을 때 필요한 비가 내린다는 날로 이십사절기의 하나. 4월 20일경이다. 이 무렵에 비가 오면 곡식이 잘 자라 풍년이 든다고 한다.
곡조	ㄱㅗㄱㅈㅗ	음악이나 노래의 흐름.
곡주	ㄱㅗㄱㅈㅜ	곡식으로 만든 술.
곤지	ㄱㅗㄴㅈㅣ	전통 혼례에서 신부의 이마 가운데에 그리는 붉은 점.
골무	ㄱㅗㄹㅁㅜ	바느질할 때 바늘을 밀기 위해 손가락에 끼는 도구.
골수	ㄱㅗㄹㅅㅜ	뼈의 중심부에 가득 차 있는 연한 물질.
골자	ㄱㅗㄹㅈㅏ	어떤 말이나 일에서 가장 중심이 되는 내용.
골조	ㄱㅗㄹㅈㅗ	철근과 콘크리트로 만든 건물의 뼈대.
골초	ㄱㅗㄹㅊㅗ	(놀리는 말로) 담배를 너무 많이 피우는 사람.
골치	ㄱㅗㄹㅊㅣ	(속된 말로) 머리.
골퍼	ㄱㅗㄹㅍㅓ	취미 또는 직업으로 골프를 하는 사람.
골프	ㄱㅗㄹㅍㅡ	넓은 풀밭에서 여러 개의 구멍을 파 놓고 공을 긴 채로 쳐서 구멍에 집어넣는 경기.
곰보	ㄱㅗㅁㅂㅗ	천연두로 인해 생긴 얼굴의 상처 자국.
곱자	ㄱㅗㅂㅈㅏ	‘ㄱ’자 모양의 자.
공고	ㄱㅗㅇㄱㅗ	‘공업 고등학교’를 줄여 이르는 말.
공구	ㄱㅗㅇㄱㅜ	톱, 망치, 송곳 등 물건을 만들거나 고치는 데에 쓰는 기구나 도구.
공기	ㄱㅗㅇㄱㅣ	작은 돌 다섯 개를 일정한 규칙에 따라 집고 받는 아이들의 놀이. 또는 그 돌.
공로	ㄱㅗㅇㄹㅗ	어떤 일을 위해 바친 노력과 수고. 또는 그 결과.
공리	ㄱㅗㅇㄹㅣ	공공의 이익.
공모	ㄱㅗㅇㅁㅗ	일반에게 널리 공개하여 모집함.
공무	ㄱㅗㅇㅁㅜ	여러 사람에 관련된 공적인 일.
공보	ㄱㅗㅇㅂㅗ	국가 기관이 각종 업무 및 활동 상황을 국민에게 널리 알림.
공부	ㄱㅗㅇㅂㅜ	학문이나 기술을 배워서 지식을 얻음.
공비	ㄱㅗㅇㅂㅣ	관청이나 공공 단체에서 공적인 목적으로 쓰는 돈.
공사	ㄱㅗㅇㅅㅏ	시설이나 건물 등을 새로 짓거나 고침.
공소	ㄱㅗㅇㅅㅗ	검사가 법원에 형사 사건의 재판을 청구함.
공수	ㄱㅗㅇㅅㅜ	공격과 수비.
공시	ㄱㅗㅇㅅㅣ	공공 기관이 어떤 내용을 공개하여 일반에 널리 알림.
공여	ㄱㅗㅇㅇㅕ	어떤 물건이나 이익 등을 상대편에게 돌아가도록 함.
공유	ㄱㅗㅇㅇㅠ	국가나 공공 단체의 소유.
공자	ㄱㅗㅇㅈㅏ	유교를 처음으로 만든 중국의 사상가이자 학자(기원전 551~기원전479). 노나라 사람으로 윤리와 도덕을 중요시했다.
공저	ㄱㅗㅇㅈㅓ	책이나 글을 여러 사람이 함께 지음. 또는 그렇게 지은 책.
공조	ㄱㅗㅇㅈㅗ	여러 사람이나 집단이 서로 돕는 것.
공주	ㄱㅗㅇㅈㅜ	왕과 왕비 사이에 태어난 딸.
공지	ㄱㅗㅇㅈㅣ	많은 사람들에게 어떤 내용을 널리 알림.
공터	ㄱㅗㅇㅌㅓ	집이나 밭 등이 없는 빈 땅.
공포	ㄱㅗㅇㅍㅗ	확정된 법이나 규정 등을 일반 대중에게 널리 알림.
공표	ㄱㅗㅇㅍㅛ	여러 사람에게 널리 알림.
공허	ㄱㅗㅇㅎㅓ	아무것도 없이 텅 빔.
과거	ㄱㅗㅏㄱㅓ	고려와 조선 시대에 실시했던 관리를 뽑기 위한 국가 시험.
과다	ㄱㅗㅏㄷㅏ	수나 양이 지나치게 많거나 어떤 일을 많이 함.
과도	ㄱㅗㅏㄷㅗ	과일을 깎거나 자르는 데 사용하는 칼.
과로	ㄱㅗㅏㄹㅗ	몸이 힘들 정도로 지나치게 일을 하는 것. 또는 그로 인한 심한 피로.
과료	ㄱㅗㅏㄹㅛ	가벼운 범죄에 물리는 적은 액수의 벌금.
과부	ㄱㅗㅏㅂㅜ	남편이 죽고 나서 남편 없이 사는 여자.
과소	ㄱㅗㅏㅅㅗ	크기 등이 지나치게 작음.
과수	ㄱㅗㅏㅅㅜ	사과나 배 등과 같은 과일이 나는 나무.
과시	ㄱㅗㅏㅅㅣ	자신의 능력이나 솜씨 등을 자랑스럽게 드러냄.
과오	ㄱㅗㅏㅇㅗ	잘못이나 실수.
과자	ㄱㅗㅏㅈㅏ	밀가루나 쌀가루 등에 우유, 설탕 등을 넣고 반죽하여 굽거나 튀긴 간식.
괴기	ㄱㅗㅣㄱㅣ	괴상하고 기이함.
괴리	ㄱㅗㅣㄹㅣ	사실들이 서로 어긋나 생겨난 차이.
괴수	ㄱㅗㅣㅅㅜ	공상의 동물로 무섭고 매우 이상한 짐승.
교각	ㄱㅛㄱㅏㄱ	다리를 받치는 기둥.
교감	ㄱㅛㄱㅏㅁ	말로 하지 않아도 서로의 감정이나 생각을 느낌.
교과	ㄱㅛㄱㅗㅏ	학교에서 학생이 배워야 할 내용을 체계적으로 나누어 놓은 것.
교내	ㄱㅛㄴㅏㅣ	학교 안.
교단	ㄱㅛㄷㅏㄴ	교실에서 교사가 가르칠 때 올라서는 주변보다 조금 높은 자리.
교대	ㄱㅛㄷㅏㅣ	어떤 일을 여러 사람이 나누어서 차례를 바꾸어 가며 함.
교란	ㄱㅛㄹㅏㄴ	어떤 체계의 질서나 사람의 마음을 뒤흔들어 어지럽게 함.
교량	ㄱㅛㄹㅑㅇ	강이나 바다를 사람이나 차가 건널 수 있게 만든 다리.
교련	ㄱㅛㄹㅕㄴ	가르쳐서 몸과 마음을 굳세게 함.
교만	ㄱㅛㅁㅏㄴ	잘난 체하면서 남을 무시하고 말이나 행동이 건방짐.
교목	ㄱㅛㅁㅗㄱ	기독교 학교에서 예배와 종교 교육을 맡은 목사.
교문	ㄱㅛㅁㅜㄴ	학교의 문.
교민	ㄱㅛㅁㅣㄴ	국외에서 살고 있는 국민.
교배	ㄱㅛㅂㅏㅣ	다음 세대를 얻기 위하여 생물의 암수를 인공적으로 수정시킴.
교범	ㄱㅛㅂㅓㅁ	가르치는 데 본보기가 되는 방법. 또는 그것에 관한 책.
교복	ㄱㅛㅂㅗㄱ	각 학교에서 학생들이 입도록 특별히 정한 옷.
교본	ㄱㅛㅂㅗㄴ	교재로 쓰는 책.
교분	ㄱㅛㅂㅜㄴ	서로 가깝게 지내며 나눈 정.
교살	ㄱㅛㅅㅏㄹ	목을 졸라 죽임.
교섭	ㄱㅛㅅㅓㅂ	어떤 일에 대하여 서로 의견이 다른 사람 또는 집단이 그 일을 이루기 위하여 서로 의논하여 의견을 조정함.
교성	ㄱㅛㅅㅓㅇ	여자가 애교를 부릴 때 내는 가늘고 예쁜 목소리.
교세	ㄱㅛㅅㅓㅣ	종교의 상황이나 세력.
교습	ㄱㅛㅅㅡㅂ	지식이나 기술 등을 가르쳐 익히게 함.
교신	ㄱㅛㅅㅣㄴ	우편이나 전화 등을 이용해 정보나 의견을 주고받음.
교실	ㄱㅛㅅㅣㄹ	유치원, 초등학교, 중학교, 고등학교에서 교사가 학생들을 가르치는 방.
교안	ㄱㅛㅇㅏㄴ	수업에서 가르칠 내용을 적은 계획서.
교양	ㄱㅛㅇㅑㅇ	사회적 경험이나 학식을 바탕으로 사회생활, 문화 등 여러 분야에 걸쳐 쌓은 지식이나 품위.
교언	ㄱㅛㅇㅓㄴ	교묘하게 꾸며 낸 말.
교역	ㄱㅛㅇㅕㄱ	나라와 나라 사이에 물건을 서로 사고팖.
교열	ㄱㅛㅇㅕㄹ	문서의 내용 중에 잘못된 것을 바로잡음.
교외	ㄱㅛㅇㅗㅣ	도시 주변의 한가롭고 조용한 지역.
교육	ㄱㅛㅇㅠㄱ	개인의 능력을 키우기 위해 지식, 교양, 기술 등을 가르치는 일.
교인	ㄱㅛㅇㅣㄴ	종교가 있는 사람.
교장	ㄱㅛㅈㅏㅇ	초, 중, 고등학교에서 각 학교의 교육과 행정을 책임지고 학교를 대표하는 직위. 또는 그 직위에 있는 사람.
교재	ㄱㅛㅈㅏㅣ	교육이나 학습을 하는 데 필요한 교과서나 그 외의 자료.
교전	ㄱㅛㅈㅓㄴ	군대가 맞붙어 싸움.
교접	ㄱㅛㅈㅓㅂ	정신적 또는 육체적으로 서로 닿아 접촉함.
교정	ㄱㅛㅈㅓㅇ	원고와 인쇄물을 대조하여 글자가 잘못되거나 틀리게 인쇄된 것, 배열이나 색이 잘못된 것 등을 바르게 고침.
교제	ㄱㅛㅈㅓㅣ	서로 사귀며 가깝게 지냄.
교직	ㄱㅛㅈㅣㄱ	학생을 가르치는 직업.
교착	ㄱㅛㅊㅏㄱ	어떤 상태가 굳어져 달라지거나 나아지지 않고 그대로 있음.
교체	ㄱㅛㅊㅓㅣ	특정한 역할을 하던 사람이나 사물, 제도 등을 다른 사람, 사물, 제도 등으로 바꿈.
교칙	ㄱㅛㅊㅣㄱ	학생이 학교에서 지켜야 할 규칙.
교탁	ㄱㅛㅌㅏㄱ	학교에서, 교사가 수업을 할 때에 책 등을 올려놓기 위하여 교단 위나 앞에 놓은 탁자.
교태	ㄱㅛㅌㅏㅣ	여자가 아양을 부리는 표정과 몸짓.
교통	ㄱㅛㅌㅗㅇ	자동차, 기차, 배, 비행기 등의 탈것을 이용하여 사람이나 짐이 오고 가는 일.
교편	ㄱㅛㅍㅕㄴ	교사가 수업에서 필요한 사항을 가리키기 위하여 사용하는 막대기.
교합	ㄱㅛㅎㅏㅂ	성적으로 관계를 맺음.
교화	ㄱㅛㅎㅗㅏ	가르쳐서 좋은 방향으로 나아가게 함.
교회	ㄱㅛㅎㅗㅣ	예수 그리스도를 구세주로 믿고 따르는 사람들의 공동체. 또는 그런 사람들이 모여 종교 활동을 하는 장소.
교훈	ㄱㅛㅎㅜㄴ	학교의 교육 이념이나 목표를 나타내는 짧은 말.
구간	ㄱㅜㄱㅏㄴ	어떤 지점과 다른 지점과의 사이.
구강	ㄱㅜㄱㅏㅇ	입에서 목구멍까지의 공간.
구걸	ㄱㅜㄱㅓㄹ	남에게 돈이나 먹을 것, 물건 등을 대가 없이 달라고 함.
구경	ㄱㅜㄱㅕㅇ	흥미나 관심을 가지고 봄.
구국	ㄱㅜㄱㅜㄱ	나라를 위기에서 구하는 것.
구근	ㄱㅜㄱㅡㄴ	땅속에 있는 잎이나 뿌리, 줄기 등이 달걀 모양으로 크고 뚱뚱하게 양분을 저장한 것.
구금	ㄱㅜㄱㅡㅁ	유죄를 선고받았거나 죄가 있다고 의심되는 사람을 교도소나 구치소에 가두는 것.
구급	ㄱㅜㄱㅡㅂ	위급한 상황에서 구하여 냄.
구김	ㄱㅜㄱㅣㅁ	구겨져서 생긴 주름.
구내	ㄱㅜㄴㅏㅣ	회사, 병원, 역과 같이 큰 건물이나 시설의 안.
구단	ㄱㅜㄷㅏㄴ	야구나 축구와 같이 공으로 하는 운동 경기를 사업으로 하는 단체.
구독	ㄱㅜㄷㅗㄱ	책이나 잡지, 신문 등을 구입하여 읽음.
구들	ㄱㅜㄷㅡㄹ	불을 때면 방바닥 전체가 따뜻해지는 한국 전통의 난방 장치.
구렁	ㄱㅜㄹㅓㅇ	움푹하게 파인 땅.
구령	ㄱㅜㄹㅕㅇ	어떤 일정한 동작을 여러 사람이 맞추어 하기 위해 소리쳐 알리는 간단한 명령.
구름	ㄱㅜㄹㅡㅁ	공기 속의 작은 물방울이나 얼음 알갱이가 한데 뭉쳐 하늘에 떠 있는 것.
구매	ㄱㅜㅁㅏㅣ	상품을 삼.
구멍	ㄱㅜㅁㅓㅇ	뚫어지거나 파낸 자리.
구면	ㄱㅜㅁㅕㄴ	둥근 물체의 겉면.
구명	ㄱㅜㅁㅕㅇ	사물의 본질이나 원인 등을 깊이 연구하여 밝힘.
구문	ㄱㅜㅁㅜㄴ	문장의 구성.
구민	ㄱㅜㅁㅣㄴ	그 구 안에 사는 사람.
구박	ㄱㅜㅂㅏㄱ	못 견딜 정도로 매우 심하게 괴롭힘.
구법	ㄱㅜㅂㅓㅂ	예전의 법.
구변	ㄱㅜㅂㅕㄴ	말을 잘하는 재주.
구별	ㄱㅜㅂㅕㄹ	성질이나 종류에 따라 차이가 남. 또는 성질이나 종류에 따라 갈라놓음.
구분	ㄱㅜㅂㅜㄴ	어떤 기준에 따라 전체를 몇 개의 부분으로 나눔.
구상	ㄱㅜㅅㅏㅇ	일정한 형태와 성질을 갖춘 구체적인 것.
구석	ㄱㅜㅅㅓㄱ	모퉁이의 안쪽.
구설	ㄱㅜㅅㅓㄹ	남을 비난하거나 그 사람의 권위를 떨어뜨리는 말.
구성	ㄱㅜㅅㅓㅇ	여러 필요한 사람이나 몇 가지의 부분 혹은 요소를 모아서 하나로 만드는 일, 또는 그렇게 해서 이루어진 것.
구속	ㄱㅜㅅㅗㄱ	생각이나 행동의 자유를 제한하거나 속박함.
구술	ㄱㅜㅅㅜㄹ	입으로 말함.
구슬	ㄱㅜㅅㅡㄹ	보석이나 유리 등으로 둥글게 만든 물건.
구습	ㄱㅜㅅㅡㅂ	예전부터 내려오는 시대에 뒤떨어진 풍습.
구식	ㄱㅜㅅㅣㄱ	예전의 방법이나 형식.
구실	ㄱㅜㅅㅣㄹ	마땅히 해야 할 일이나 역할.
구심	ㄱㅜㅅㅣㅁ	중심으로 가까워지거나 모임.
구애	ㄱㅜㅇㅏㅣ	이성에게 사랑을 구함.
구약	ㄱㅜㅇㅑㄱ	기독교에서, 예수가 나기 전에 하나님이 이스라엘 민족에게 준 구원의 약속.
구역	ㄱㅜㅇㅕㄱ	어떤 기준이나 특성에 따라 여럿으로 나누어 놓은 지역 중 하나.
구연	ㄱㅜㅇㅕㄴ	여러 사람 앞에서 어떤 이야기의 내용을 실감 나고 재미있게 말로 이야기함.
구인	ㄱㅜㅇㅣㄴ	일할 사람을 구함.
구입	ㄱㅜㅇㅣㅂ	물건 등을 삼.
구장	ㄱㅜㅈㅏㅇ	축구나 야구 등의 시합을 하는 큰 운동장.
구전	ㄱㅜㅈㅓㄴ	말로 전하여 내려옴. 또는 말로 전함.
구절	ㄱㅜㅈㅓㄹ	한 토막의 말이나 글.
구정	ㄱㅜㅈㅓㅇ	음력 1월 1일에 쇠는 설.
구제	ㄱㅜㅈㅓㅣ	어려운 처지에 놓인 사람을 도와줌.
구좌	ㄱㅜㅈㅗㅏ	금융 기관에서 각 고객의 저축과 대출 상황 등을 계산하여 기록한 것.
구직	ㄱㅜㅈㅣㄱ	일자리를 구함.
구질	ㄱㅜㅈㅣㄹ	야구, 테니스, 탁구 등에서 선수가 치거나 던진 공의 성질.
구천	ㄱㅜㅊㅓㄴ	사람이 죽은 후에 그 영혼이 가는 곳.
구청	ㄱㅜㅊㅓㅇ	구의 행정 사무를 맡아보는 기관.
구축	ㄱㅜㅊㅜㄱ	시설물을 지음.
구출	ㄱㅜㅊㅜㄹ	위험한 상황에서 구해 냄.
구취	ㄱㅜㅊㅜㅣ	입에서 나는 좋지 않은 냄새.
구태	ㄱㅜㅌㅏㅣ	예전 그대로의 뒤떨어진 상태.
구현	ㄱㅜㅎㅕㄴ	이념이나 사상, 계획 등을 구체적인 모습으로 나타나게 함.
구형	ㄱㅜㅎㅕㅇ	형사 재판에서, 법에 따라 피고인이 받을 형벌의 종류와 양을 검사가 판사에게 요구함.
구혼	ㄱㅜㅎㅗㄴ	결혼할 상대를 구함.
국가	ㄱㅜㄱㄱㅏ	일정한 땅과 거기에 사는 사람들로 구성되고, 주권에 의한 하나의 통치 조직을 이루는 집단.
국고	ㄱㅜㄱㄱㅗ	국가의 돈.
국교	ㄱㅜㄱㄱㅛ	나라와 나라 사이의 외교 관계.
국기	ㄱㅜㄱㄱㅣ	한 나라를 상징하는 깃발.
국도	ㄱㅜㄱㄷㅗ	나라에서 직접 관리하는 주요 도로.
국모	ㄱㅜㄱㅁㅗ	나라의 어머니라는 뜻으로, 임금의 부인.
국무	ㄱㅜㄱㅁㅜ	대통령이나 장관 등이 나라를 다스리고 이끌어 나가기 위해 다루는 국가적인 사무.
국보	ㄱㅜㄱㅂㅗ	국가가 법으로 정해 보호하고 관리하는 문화재.
국부	ㄱㅜㄱㅂㅜ	전체 중 어느 한 부분.
국비	ㄱㅜㄱㅂㅣ	국가 재정으로 부담하는 비용.
국사	ㄱㅜㄱㅅㅏ	한 나라의 역사.
국소	ㄱㅜㄱㅅㅗ	전체 가운데 어느 한 부분.
국수	ㄱㅜㄱㅅㅜ	밀, 메밀, 감자 등의 가루를 반죽하여 칼이나 기계, 손으로 가늘고 길게 만든 식품. 또는 그것을 삶아서 만든 음식.
국시	ㄱㅜㄱㅅㅣ	국가 정책의 기본 방향.
국어	ㄱㅜㄱㅇㅓ	한 나라의 국민들이 사용하는 말.
국유	ㄱㅜㄱㅇㅠ	나라의 소유.
국자	ㄱㅜㄱㅈㅏ	국이나 액체 등을 뜨는 데 쓰는 도구.
국지	ㄱㅜㄱㅈㅣ	한정된 지역.
국치	ㄱㅜㄱㅊㅣ	다른 나라로부터 당한 나라의 수치.
국토	ㄱㅜㄱㅌㅗ	한 나라의 주권이 미치는 땅.
국호	ㄱㅜㄱㅎㅗ	나라의 이름.
군가	ㄱㅜㄴㄱㅏ	군인들의 사기를 높이기 위한 노래.
군기	ㄱㅜㄴㄱㅣ	군대의 규율과 법도.
군무	ㄱㅜㄴㅁㅜ	여러 명이 함께 추는 춤.
군부	ㄱㅜㄴㅂㅜ	군사에 관한 일을 총괄하여 맡아보는 군의 지도부. 또는 그것을 중심으로 한 핵심 세력.
군비	ㄱㅜㄴㅂㅣ	전쟁을 하기 위해 갖춘 군사 시설이나 무기와 같은 장비.
군사	ㄱㅜㄴㅅㅏ	(옛날에) 군인이나 군대.
군소	ㄱㅜㄴㅅㅗ	규모가 작은 여러 개의 것.
군수	ㄱㅜㄴㅅㅜ	군 단위 지역의 행정을 담당하는 제일 높은 직위에 있는 사람, 또는 그 직위.
군자	ㄱㅜㄴㅈㅏ	유교에서 성품이 착하고 슬기로우며, 덕과 학식이 높은 사람.
군주	ㄱㅜㄴㅈㅜ	한 나라를 다스리는 왕.
굴비	ㄱㅜㄹㅂㅣ	소금에 절여서 말린 조기.
굴지	ㄱㅜㄹㅈㅣ	많은 것들 중에서 매우 뛰어남.
굽이	ㄱㅜㅂㅇㅣ	휘어서 구부러진 곳.
궁녀	ㄱㅜㅇㄴㅕ	(옛날에) 궁궐 안에서 왕과 그 가족들을 모시는 시녀.
궁리	ㄱㅜㅇㄹㅣ	어떤 일을 해결할 방법을 깊이 생각함. 또는 그 생각.
궁지	ㄱㅜㅇㅈㅣ	매우 곤란한 처지.
귀가	ㄱㅜㅣㄱㅏ	집으로 돌아가거나 돌아옴.
귀로	ㄱㅜㅣㄹㅗ	돌아오는 길.
귀지	ㄱㅜㅣㅈㅣ	귓구멍 속에 생기는 때.
귀추	ㄱㅜㅣㅊㅜ	일이 진행되는 상황이나 진행된 결과.
귀티	ㄱㅜㅣㅌㅣ	신분이나 지위가 높고 귀하게 보이는 모습이나 태도.
귀하	ㄱㅜㅣㅎㅏ	(높임말로) 편지나 물건을 받을 사람의 이름 뒤에 붙여 쓰는 말.
규격	ㄱㅠㄱㅕㄱ	표준으로 삼아 따르도록 정해 놓은 수치나 형식.
규명	ㄱㅠㅁㅕㅇ	자세히 따져 사실을 밝힘.
규범	ㄱㅠㅂㅓㅁ	한 사회의 구성원으로서 따르고 지켜야 할 원리나 행동 양식.
규약	ㄱㅠㅇㅑㄱ	한 조직체의 구성이나 운영에 관한 규칙.
규율	ㄱㅠㅇㅠㄹ	사회나 조직의 질서를 유지하기 위하여 사람들이 따르도록 정해 놓은 규칙.
규정	ㄱㅠㅈㅓㅇ	규칙으로 정함. 또는 그렇게 정해 놓은 것.
규제	ㄱㅠㅈㅓㅣ	규칙이나 법에 의하여 개인이나 단체의 활동을 제한함.
규칙	ㄱㅠㅊㅣㄱ	여러 사람이 지키도록 정해 놓은 법칙.
규탄	ㄱㅠㅌㅏㄴ	잘못이나 옳지 못한 일에 대하여 따지고 비난함.
규합	ㄱㅠㅎㅏㅂ	목적을 이루기 위해서 힘이나 사람을 한데 모음.
그간	ㄱㅡㄱㅏㄴ	조금 멀어진 어느 때부터 다른 어느 때까지의 비교적 짧은 동안.
그날	ㄱㅡㄴㅏㄹ	앞에서 말한 날.
그네	ㄱㅡㄴㅓㅣ	길게 늘어뜨린 두 줄에 발판이나 앉을 자리를 달아 거기에 타서 몸을 앞뒤로 왔다 갔다 흔들게 하는 놀이 기구.
